#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#snapshot
16.0,0.5,2.0,0.002,113.36009628983999,0.89252172,19.008597,11.0,14.0,321843.0,1688627.0,0.088939109,0.89965083,initial.bhinfo0046
16.0,0.5,2.0,0.002,117.07642651584,0.89252172,19.008597,11.0,14.0,321843.0,1688627.0,0.087238939,0.8977685,initial.bhinfo0047
16.0,0.5,2.0,0.002,121.1260965492,0.89252172,19.008597,11.0,14.0,321843.0,1688627.0,0.085399832,0.89565128,initial.bhinfo0048
16.0,0.5,2.0,0.002,172.88333716943998,0.83524463,14.440356,11.0,14.0,321144.0,1834256.0,0.086103564,0.18548139,initial.bhinfo0059
16.0,0.5,2.0,0.002,177.94494930744,0.83524463,14.440356,11.0,14.0,321144.0,1834256.0,0.086102143,0.1854771,initial.bhinfo0060
16.0,0.5,2.0,0.002,183.68424389184,0.83524463,14.440356,11.0,14.0,321144.0,1834256.0,0.086100531,0.18547223,initial.bhinfo0061
16.0,0.5,2.0,0.002,296.53575993696,20.012943,0.96725918,14.0,11.0,2229124.0,51306.0,3.2931344,0.95070095,initial.bhinfo0082
16.0,0.5,2.0,0.002,536.70801099072,16.162128,0.77578537,14.0,11.0,2361753.0,910019.0,0.78122785,0.62542282,initial.bhinfo0121
16.0,0.5,2.0,0.002,542.80101477264,16.162128,0.77578537,14.0,11.0,2361753.0,910019.0,0.78122782,0.62542281,initial.bhinfo0122
16.0,0.5,2.0,0.002,2896.781124216,11.255665,0.57408013,14.0,11.0,1757713.0,1123322.0,6.614654,0.94167599,initial.bhinfo0251
16.0,0.5,2.0,0.002,2926.8472462536,8.7087782,0.57408013,14.0,11.0,674745.0,1123322.0,2.1530616,0.87756213,initial.bhinfo0252
16.0,0.5,2.0,0.002,2966.8235232623997,8.7087782,0.57408013,14.0,11.0,674745.0,1123322.0,2.5417074,0.76676031,initial.bhinfo0253
16.0,0.5,2.0,0.002,3002.3723103335997,0.66475369,23.032788,11.0,14.0,1056408.0,1720998.0,16.89039,0.67157485,initial.bhinfo0254
16.0,0.5,2.0,0.002,3002.3723103335997,10.525567,0.71194887,14.0,11.0,1919905.0,3084935.0,6.4579659,0.0,initial.bhinfo0254
16.0,0.5,2.0,0.002,3002.3723103335997,8.7087782,0.57408013,14.0,11.0,674745.0,1123322.0,2.5417074,0.76676031,initial.bhinfo0254
16.0,0.5,2.0,0.002,3053.8530030936,8.7087782,0.57408013,14.0,11.0,674745.0,1123322.0,2.4647827,0.70605177,initial.bhinfo0255
16.0,0.5,2.0,0.002,3087.7198782095998,8.7087782,0.57408013,14.0,11.0,674745.0,1123322.0,2.3359446,0.81392959,initial.bhinfo0256
16.0,0.5,2.0,0.002,4359.0365809488,0.54086962,14.223568,11.0,14.0,6984.0,1793458.0,14.391476,0.05071364,initial.bhinfo0280
16.0,0.5,2.0,0.002,5750.8562254896,25.096334,0.77423992,14.0,11.0,844780.0,1399665.0,28.836832,0.98085369,initial.bhinfo0297
16.0,0.5,2.0,0.002,6038.104781774399,1.2648155,13.06833,12.0,14.0,142128.0,1701151.0,13.538466,0.59887078,initial.bhinfo0301
16.0,0.5,2.0,0.002,6275.0022929376,12.044824,1.1925217,14.0,12.0,334260.0,507578.0,17.388915,0.68706722,initial.bhinfo0304
16.0,0.5,2.0,0.002,9763.739476319999,12.76121,1.1832175,14.0,12.0,1810348.0,2062043.0,18.797317,0.68043833,initial.bhinfo0326
16.0,0.5,2.0,0.002,10309.497617087998,1.1466467,11.549954,11.0,14.0,393252.0,1682788.0,0.44990201,0.5822209,initial.bhinfo0327
16.0,0.5,2.0,0.002,10995.775362384,1.0854771,6.3661456,11.0,14.0,1487764.0,1805444.0,0.43360499,0.82544698,initial.bhinfo0329
16.0,0.5,2.0,0.002,11257.644525312,1.1234487,6.3661456,11.0,14.0,1368038.0,1805444.0,0.39657988,0.67187987,initial.bhinfo0330
16.0,0.5,2.0,0.002,11742.003504312,1.1234487,6.3661456,11.0,14.0,1368038.0,1805444.0,0.31538166,0.70904501,initial.bhinfo0331
16.0,0.5,2.0,0.002,11742.003504312,0.54811253,10.303204,11.0,14.0,65947.0,1772814.0,0.75299004,0.38239479,initial.bhinfo0331
16.0,0.5,2.0,0.002,12266.067315864,1.0629567,10.303204,11.0,14.0,540239.0,1772814.0,0.027157684,0.39843626,initial.bhinfo0333
16.0,0.5,2.0,0.002,12599.034760511999,1.0629567,10.303204,11.0,14.0,540239.0,1772814.0,0.021710521,0.33521282,initial.bhinfo0334
16.0,0.5,2.0,0.002,12914.686896816,1.3459956,12.887834,12.0,14.0,741520.0,1707943.0,68.712871,0.87068023,initial.bhinfo0335
