N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,2.0,0.002,0,347.0,4.3275921,0.034863821,0.6841568,0.94806631,-0.98880786,0.033053214,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,389.36881,1.8528704,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.67225798745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5917.06,0.0,0.0
16.0,0.5,2.0,0.002,0,5956.0,12.393873,0.090911569,0.41621781,0.84494976,-1.211743,0.076815709,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,10866.73,3.4830448,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.65533165021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2937.99,0.0,0.0
16.0,0.5,2.0,0.002,0,9297.0,0.83927731,0.106189,-0.16280395,0.089444678,-1.6307712,0.0094980412,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,0.57691647,0.78088483,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.64802389416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,691.455,0.0,0.0
16.0,0.5,2.0,0.002,0,28755.0,2.4862516,0.15771468,-0.17666147,1.0114058,-1.0892492,0.15951355,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,54.780006,1.3451899,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.61632468876,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5889.3,0.0,0.0
16.0,0.5,2.0,0.002,0,35591.0,9.5746404,0.17057842,0.0060144058,0.87419091,-1.2247868,0.14911811,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,5039.589,2.9787079,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.60690978483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3558.1,0.0,0.0
16.0,0.5,2.0,0.002,0,43805.0,12.764416,0.1845504,-0.21532783,0.82836209,-1.2298124,0.15287455,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,11836.218,3.5458948,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.5960873099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2873.89,0.0,0.0
16.0,0.5,2.0,0.002,0,48901.0,4.9100195,0.19235225,-0.14877167,0.84152238,-1.2246981,0.16186873,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,596.04438,1.9963709,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.5898445998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5560.25,0.0,0.0
16.0,0.5,2.0,0.002,0,62854.0,12.511681,0.21198999,-0.48660681,0.25087734,-1.4235095,0.053183486,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,11169.669,3.5031046,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.57337235078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2917.26,0.0,0.0
16.0,0.5,2.0,0.002,0,64880.0,7.0686332,0.21455051,-0.26675718,0.46722922,-1.4263872,0.10024427,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,1958.3643,2.4809281,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.57111841991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4420.72,0.0,0.0
16.0,0.5,2.0,0.002,0,73505.0,7.1148312,0.22525229,-0.028140966,0.35549781,-1.4979638,0.080076694,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,1999.3958,2.4906461,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.5615491345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4400.87,0.0,0.0
16.0,0.5,2.0,0.002,0,86935.0,1.3826622,0.24094348,-0.15366957,0.74708037,-1.2562393,0.18000415,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,5.461396,1.097557,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.54711101508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2199.64,0.0,0.0
16.0,0.5,2.0,0.002,0,90640.0,5.2681765,0.24516054,0.44621509,0.70229657,-1.1969978,0.17217541,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,753.45963,2.0815068,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.54316200173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5344.01,0.0,0.0
16.0,0.5,2.0,0.002,0,108604.0,6.812738,0.26399528,-0.53677035,0.34739335,-1.3209318,0.091710204,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,1740.8704,2.4266686,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.52533411244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4533.99,0.0,0.0
16.0,0.5,2.0,0.002,0,113556.0,3.3577826,0.26883383,0.085589861,1.3584238,-0.59434792,0.36519029,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,161.84285,1.5970922,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.52066840569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6353.97,0.0,0.0
16.0,0.5,2.0,0.002,0,141251.0,1.7455316,0.29501987,0.39020387,0.57958105,-1.2508508,0.17098793,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,14.159267,1.1360606,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.49493743663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3792.5,0.0,0.0
16.0,0.5,2.0,0.002,0,152404.0,3.611513,0.30500062,-0.95742803,0.50834934,-0.89744218,0.15504686,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,208.89876,1.6663262,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.48498592294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6284.69,0.0,0.0
16.0,0.5,2.0,0.002,0,155756.0,7.1453648,0.30792921,0.038644105,0.41476795,-1.3952737,0.12771917,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,2026.815,2.4970562,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.48203657537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4387.84,0.0,0.0
16.0,0.5,2.0,0.002,0,157555.0,2.8781608,0.30951483,0.20531286,0.30891294,-1.4116448,0.095613136,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,93.454571,1.4611324,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.4804351049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6283.71,0.0,0.0
16.0,0.5,2.0,0.002,0,165394.0,1.5542582,0.31629197,-0.39058226,0.55739081,-1.2419485,0.17629824,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,8.8724454,1.105584,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.473568055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2963.05,0.0,0.0
16.0,0.5,2.0,0.002,0,167955.0,3.4799849,0.3185117,0.14862889,0.23370965,-1.4329523,0.074439259,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,183.4977,1.6306594,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.4713076375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6327.03,0.0,0.0
16.0,0.5,2.0,0.002,0,168324.0,2.3443028,0.31881985,-0.26124151,0.084376039,-1.4333097,0.026900756,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,44.033943,1.3024907,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.47099290937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5637.86,0.0,0.0
16.0,0.5,2.0,0.002,0,176167.0,1.7374113,0.32546553,0.055133056,1.0353378,-0.92670194,0.33696677,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,13.899333,1.1343452,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.46418394385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3759.01,0.0,0.0
16.0,0.5,2.0,0.002,0,177352.0,4.623131,0.32647539,0.27748364,0.55299053,-1.2717455,0.1805378,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,486.95884,1.9265169,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.46314334578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5736.9,0.0,0.0
16.0,0.5,2.0,0.002,0,187389.0,4.7258658,0.33480255,0.44740541,0.26393805,-1.31962,0.08836713,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,524.34863,1.9517099,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.45453747269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5673.55,0.0,0.0
16.0,0.5,2.0,0.002,0,189868.0,6.1495734,0.33677068,0.36492006,0.71924793,-1.1272533,0.24222162,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,1251.4068,2.2824303,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.45249540176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4854.79,0.0,0.0
16.0,0.5,2.0,0.002,0,199699.0,8.0736687,0.34470879,0.098974985,0.8213878,-1.1020155,0.2831396,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,2978.6567,2.6873691,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.44425243538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4026.19,0.0,0.0
16.0,0.5,2.0,0.002,0,222742.0,3.4130626,0.36284262,0.29829236,0.40517631,-1.2987215,0.14701523,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,171.41184,1.612329,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.42529462535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6343.44,0.0,0.0
16.0,0.5,2.0,0.002,0,227229.0,1.9521841,0.36631193,-0.30265124,0.57290829,-1.2117329,0.20986314,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,21.957841,1.18745,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.42164378823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4574.4,0.0,0.0
16.0,0.5,2.0,0.002,0,261928.0,2.3744155,0.39294182,0.68265677,0.60070863,-0.98009081,0.23604354,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,46.180939,1.3115571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.39352637309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5696.75,0.0,0.0
16.0,0.5,2.0,0.002,0,269550.0,5.5592841,0.39872107,0.020093585,0.41335883,-1.301784,0.16481488,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,899.8699,2.1491463,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1.38741863241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5174.82,0.0,0.0
