N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,2.0,0.002,0,347,4.3275921,0.034863821,0.6841568,0.94806631,-0.98880786,0.033053214,-100,-100,-100,-100,-100,-100,-100,1,389.36881,1.8528704,-100,-100,-100,-100,-100,-100,-100,-100,-1.67225798745,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5917.06,0,0
16.0,0.5,2.0,0.002,0,5956,12.393873,0.090911569,0.41621781,0.84494976,-1.211743,0.076815709,-100,-100,-100,-100,-100,-100,-100,1,10866.73,3.4830448,-100,-100,-100,-100,-100,-100,-100,-100,-1.65533165021,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2937.99,0,0
16.0,0.5,2.0,0.002,0,9297,0.83927731,0.106189,-0.16280395,0.089444678,-1.6307712,0.0094980412,-100,-100,-100,-100,-100,-100,-100,1,0.57691647,0.78088483,-100,-100,-100,-100,-100,-100,-100,-100,-1.64802389416,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,691.455,0,0
16.0,0.5,2.0,0.002,0,28755,2.4862516,0.15771468,-0.17666147,1.0114058,-1.0892492,0.15951355,-100,-100,-100,-100,-100,-100,-100,1,54.780006,1.3451899,-100,-100,-100,-100,-100,-100,-100,-100,-1.61632468876,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5889.3,0,0
16.0,0.5,2.0,0.002,0,35591,9.5746404,0.17057842,0.0060144058,0.87419091,-1.2247868,0.14911811,-100,-100,-100,-100,-100,-100,-100,1,5039.589,2.9787079,-100,-100,-100,-100,-100,-100,-100,-100,-1.60690978483,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3558.1,0,0
16.0,0.5,2.0,0.002,0,43805,12.764416,0.1845504,-0.21532783,0.82836209,-1.2298124,0.15287455,-100,-100,-100,-100,-100,-100,-100,1,11836.218,3.5458948,-100,-100,-100,-100,-100,-100,-100,-100,-1.5960873099,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2873.89,0,0
16.0,0.5,2.0,0.002,0,48901,4.9100195,0.19235225,-0.14877167,0.84152238,-1.2246981,0.16186873,-100,-100,-100,-100,-100,-100,-100,1,596.04438,1.9963709,-100,-100,-100,-100,-100,-100,-100,-100,-1.5898445998,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5560.25,0,0
16.0,0.5,2.0,0.002,0,62854,12.511681,0.21198999,-0.48660681,0.25087734,-1.4235095,0.053183486,-100,-100,-100,-100,-100,-100,-100,1,11169.669,3.5031046,-100,-100,-100,-100,-100,-100,-100,-100,-1.57337235078,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2917.26,0,0
16.0,0.5,2.0,0.002,0,64880,7.0686332,0.21455051,-0.26675718,0.46722922,-1.4263872,0.10024427,-100,-100,-100,-100,-100,-100,-100,1,1958.3643,2.4809281,-100,-100,-100,-100,-100,-100,-100,-100,-1.57111841991,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4420.72,0,0
16.0,0.5,2.0,0.002,0,73505,7.1148312,0.22525229,-0.028140966,0.35549781,-1.4979638,0.080076694,-100,-100,-100,-100,-100,-100,-100,1,1999.3958,2.4906461,-100,-100,-100,-100,-100,-100,-100,-100,-1.5615491345,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4400.87,0,0
