N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16,0.5,2,0.002,4.66542175,single-single,1702732,22.2973,1702731,22.2973,653285,33.5967,-100,-100,-100,-100,0.0704792,14,14,4,-100,-100,5285.4,88.9518
16,0.5,2,0.002,5.946322945,single-single,1748210,19.0968,1748209,19.0968,528064,30.2989,-100,-100,-100,-100,0.495497,14,14,4,-100,-100,3760.89,63.5999
16,0.5,2,0.002,6.306276515,single-single,1759384,29.2377,1759383,29.2377,1207646,30.0837,-100,-100,-100,-100,0.366359,14,14,4,-100,-100,3785.26,80.2105
16,0.5,2,0.002,7.991469862,single-single,1938799,12.5378,1938798,12.5378,534376,23.24,-100,-100,-100,-100,0.613558,14,14,4,-100,-100,2407.75,68.6581
16,0.5,2,0.002,11.1885708,single-single,1720114,39.1001,1720113,39.1001,1387359,18.5722,-100,-100,-100,-100,0.259081,14,14,4,-100,-100,335.451,44.9566
16,0.5,2,0.002,12.26798043,single-single,2202859,13.8389,972171,13.8389,522859,17.2461,-100,-100,-100,-100,0.299937,14,14,4,-100,-100,631.466,55.453
16,0.5,2,0.002,13.12857168,single-single,1694889,25.0687,1694888,25.0687,467378,16.6245,-100,-100,-100,-100,0.327809,14,14,4,-100,-100,314.596,39.2027
16,0.5,2,0.002,16.05776605,single-single,2497719,16.6772,817719,16.6772,1058828,14.2903,-100,-100,-100,-100,0.2949,14,14,4,-100,-100,1695.44,37.7611
16,0.5,2,0.002,16.72810738,single-single,1681812,24.3526,1681811,24.3526,992229,13.7753,-100,-100,-100,-100,0.220264,14,14,5,-100,-100,3024.89,38.8976
16,0.5,2,0.002,17.0371419,single-single,1681791,25.7301,1681790,25.7301,483723,13.7655,-100,-100,-100,-100,0.057533,14,14,4,-100,-100,4770.18,21.3268
16,0.5,2,0.002,18.48528791,single-single,2596308,12.1247,916308,12.1247,1487224,72.6653,-100,-100,-100,-100,0.122666,14,14,4,-100,-100,9601.02,48.9895
16,0.5,2,0.002,19.17889085,binary-single,1735509,24.8643,1735508,24.8643,62854,12.4733,-100,-100,-100,-100,0.171777,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,19.6954225,single-single,1723806,40.0961,1819930,40.0961,43805,12.5271,-100,-100,-100,-100,0.0588879,14,14,4,-100,-100,600.64,79.0113
16,0.5,2,0.002,19.90628062,single-single,1711820,30.2783,1711819,30.2783,577521,12.4453,-100,-100,-100,-100,0.143419,14,14,4,-100,-100,1977.39,30.1388
16,0.5,2,0.002,19.96704385,binary-binary,1934804,41.356,1934803,41.356,873664,12.4235,-100,-100,-100,-100,0.0995099,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,20.56981152,single-single,1685957,39.8253,1745302,39.8253,5956,12.1745,-100,-100,-100,-100,0.073302,14,14,4,-100,-100,446.988,66.7148
16,0.5,2,0.002,24.31537354,single-single,1713048,26.7213,1713047,26.7213,1632674,19.2245,-100,-100,-100,-100,0.238583,14,14,4,-100,-100,3815.17,44.8783
16,0.5,2,0.002,24.50049353,single-single,1709499,13.581,1709498,13.581,739061,10.4141,-100,-100,-100,-100,0.294521,14,14,4,-100,-100,718.596,37.6273
16,0.5,2,0.002,26.37583951,single-single,1991249,19.892,2244677,19.892,311248,10.3634,-100,-100,-100,-100,0.0762121,14,14,4,-100,-100,516.963,58.5032
16,0.5,2,0.002,27.61516168,binary-single,1777956,40.3402,1777955,40.3402,127179,15.117,-100,-100,-100,-100,0.0177482,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,28.97530272,single-single,1715592,34.8979,1731909,34.8979,35591,9.45744,-100,-100,-100,-100,0.0452182,14,14,4,-100,-100,662.372,39.4545
16,0.5,2,0.002,30.03516552,single-single,1691891,31.9267,1691890,31.9267,1518377,9.18419,-100,-100,-100,-100,0.0236162,14,14,4,-100,-100,3065.61,25.1428
16,0.5,2,0.002,30.53692648,single-single,1742230,15.6034,1742229,15.6034,1091516,9.09637,-100,-100,-100,-100,0.224289,14,14,4,-100,-100,906.815,31.8796
16,0.5,2,0.002,31.07795801,single-single,1810712,17.9552,1810711,17.9552,1152600,9.2257,-100,-100,-100,-100,0.0637317,14,14,4,-100,-100,261.372,74.2832
16,0.5,2,0.002,31.29898756,single-single,1847079,12.7608,1847078,12.7608,337490,8.95912,-100,-100,-100,-100,0.370921,14,14,2,-100,-100,61.1078,90.9074
16,0.5,2,0.002,32.87325927,binary-single,1720115,39.1001,1720114,39.1001,1620483,21.1299,-100,-100,-100,-100,0.0201748,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,32.9449015,single-single,2028244,16.6002,348244,16.6002,697926,8.7019,-100,-100,-100,-100,0.0650235,14,14,4,-100,-100,330.185,75.4024
16,0.5,2,0.002,33.50433004,single-single,1687673,22.2973,1687672,22.2973,839729,8.88744,-100,-100,-100,-100,0.133698,14,14,4,-100,-100,381.343,63.5823
16,0.5,2,0.002,35.00731331,binary-single,1684009,72.1227,1684008,72.1227,1663020,13.6363,-100,-100,-100,-100,0.016551,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,35.99703748,single-single,1731269,23.4533,1731268,23.4533,835619,8.28355,-100,-100,-100,-100,0.0919683,14,14,4,-100,-100,752.186,45.5531
16,0.5,2,0.002,37.07556264,single-single,1747663,32.9213,1747662,32.9213,1072269,8.3959,-100,-100,-100,-100,0.101405,14,14,4,-100,-100,823.703,15.1144
16,0.5,2,0.002,37.26439741,single-single,1730491,32.9667,1730490,32.9667,1044464,8.36374,-100,-100,-100,-100,0.0543017,14,14,5,-100,-100,2177.77,46.3654
16,0.5,2,0.002,37.65383043,single-single,1680492,25.1731,1680491,25.1731,199699,8.05638,-100,-100,-100,-100,0.0515565,14,14,4,-100,-100,1291.53,47.0425
16,0.5,2,0.002,41.37259296,single-single,1908641,30.0652,1908640,30.0652,761202,7.90779,-100,-100,-100,-100,0.0263115,14,14,4,-100,-100,738.926,35.5386
16,0.5,2,0.002,46.53516757,single-single,2224713,12.2081,2224712,12.2081,557416,7.17499,-100,-100,-100,-100,0.288365,14,14,4,-100,-100,3637.85,7.16303
16,0.5,2,0.002,47.27113672,single-single,1835757,21.1853,2278696,21.1853,155756,7.11082,-100,-100,-100,-100,0.228804,14,14,4,-100,-100,443.616,73.1435
16,0.5,2,0.002,47.47580354,single-single,1753506,17.2051,1762692,17.2051,73505,7.09223,-100,-100,-100,-100,0.30406,14,14,4,-100,-100,3287.01,10.1402
16,0.5,2,0.002,52.62404971,single-single,1744880,13.4655,781351,13.4655,64880,6.92458,-100,-100,-100,-100,0.244111,14,14,4,-100,-100,199.662,87.2742
16,0.5,2,0.002,53.83613014,single-single,2001663,13.226,2001662,13.226,722106,6.74061,-100,-100,-100,-100,0.292823,14,14,6,-100,-100,2310.22,11.9202
16,0.5,2,0.002,53.97826479,single-single,1788605,10.0304,2101644,10.0304,108604,6.70666,-100,-100,-100,-100,0.249882,14,14,4,-100,-100,326.222,30.3808
16,0.5,2,0.002,54.01284765,single-single,1769567,16.6185,1769566,16.6185,318510,9.25125,-100,-100,-100,-100,0.0159584,14,14,4,-100,-100,187.694,88.0846
16,0.5,2,0.002,62.71870554,single-single,1869869,18.981,2753124,18.981,189868,6.13214,-100,-100,-100,-100,0.0717809,14,14,4,-100,-100,1600.28,23.1843
16,0.5,2,0.002,74.62838637,single-single,1740171,14.3177,1740170,14.3177,490145,5.76807,-100,-100,-100,-100,0.419824,14,14,4,-100,-100,91.0636,48.4709
16,0.5,2,0.002,75.05293293,single-single,1973174,14.2144,1973173,14.2144,956723,5.59402,-100,-100,-100,-100,0.29964,14,14,2,-100,-100,770.394,14.8044
16,0.5,2,0.002,83.82654138,single-single,1817510,13.2274,1817509,13.2274,269550,5.46012,-100,-100,-100,-100,0.429215,14,14,4,-100,-100,258.557,32.5933
16,0.5,2,0.002,85.31395794,binary-single,2501616,16.274,821616,16.274,1422864,5.21891,-100,-100,-100,-100,0.0410418,14,14,2,-100,-100,-100,-100
16,0.5,2,0.002,89.98441234,single-single,2001553,21.2881,2109097,21.2881,321552,5.14897,-100,-100,-100,-100,0.0720085,14,14,4,-100,-100,584.56,48.8282
16,0.5,2,0.002,90.05959246,single-single,1680834,33.3751,1680833,33.3751,90640,5.19687,-100,-100,-100,-100,0.0201863,14,14,4,-100,-100,70.8937,83.9345
16,0.5,2,0.002,95.08162447,single-single,1706094,23.1407,1706093,23.1407,636733,5.15569,-100,-100,-100,-100,0.102716,14,14,5,-100,-100,412.636,48.7549
16,0.5,2,0.002,97.71292867,single-single,1689352,30.3076,1689351,30.3076,294595,4.93358,-100,-100,-100,-100,0.02192,14,14,4,-100,-100,244.212,48.8193
16,0.5,2,0.002,98.76810377,single-single,1697889,16.87,1697888,16.87,981853,4.92619,-100,-100,-100,-100,0.587588,14,14,4,-100,-100,538.129,60.4666
16,0.5,2,0.002,100.183259,single-single,1698512,18.5099,1698511,18.5099,1155119,4.88032,-100,-100,-100,-100,0.00787192,14,14,4,-100,-100,626.352,39.71
16,0.5,2,0.002,100.2947024,single-single,2563505,16.8644,951774,16.8644,883505,4.83631,-100,-100,-100,-100,0.0152418,14,14,6,-100,-100,650.235,53.2361
16,0.5,2,0.002,101.4206353,single-single,1922102,25.5976,1922101,25.5976,311906,4.99832,-100,-100,-100,-100,0.0258703,14,14,5,-100,-100,990.108,29.7698
16,0.5,2,0.002,102.2759197,single-single,1694384,27.112,1694383,27.112,1482834,4.85242,-100,-100,-100,-100,0.120859,14,14,4,-100,-100,309.981,82.1557
16,0.5,2,0.002,108.046215,single-single,1717171,13.3316,1717170,13.3316,187389,4.70975,-100,-100,-100,-100,0.145741,14,14,4,-100,-100,1223.34,22.2128
16,0.5,2,0.002,109.7638597,binary-single,1830826,15.7529,1577578,15.7529,150826,4.56786,-100,-100,-100,-100,0.152103,14,14,3,-100,-100,-100,-100
16,0.5,2,0.002,110.5324658,single-single,2635749,21.8419,1528588,21.8419,955749,4.76427,-100,-100,-100,-100,0.0939749,14,14,5,-100,-100,950.611,58.3634
16,0.5,2,0.002,111.0640335,single-single,1728902,13.9082,2292204,13.9082,48901,4.77774,-100,-100,-100,-100,0.170363,14,14,5,-100,-100,861.619,60.3436
