N,rv,rg,z,time,interaction_type,idr,mr,id1,m1,id2,m2,r,typer,type1,type2
16.0,0.5,2.0,0.02,29.5701985872,disrupt2,2556646,7.27956,2264180,7.27953,2556646,14.9935,0.227348,14,14,2
16.0,0.5,2.0,0.02,2457.51429672,disrupt2,2436327,7.57729,1775423,7.57729,2436327,0.408753,0.240809,14,14,7
16.0,0.5,2.0,0.02,10565.990959199999,disrupt1,2037225,5.83492,1680004,5.83492,2037225,2.00191,0.0425879,14,14,6
16.0,0.5,20.0,0.02,7.935907330559999,disrupt1,1620445,7.25427,1753590,7.25426,1620445,28.4732,0.177694,14,14,2
16.0,0.5,20.0,0.02,8304.56410488,disrupt1,2251245,6.31701,1963872,6.31701,2251245,1.83518,0.0801236,14,14,6
16.0,0.5,20.0,0.02,8345.9220156,disrupt1,2138448,7.77565,1900165,7.77565,2138448,4.34427,0.0852417,14,14,6
16.0,0.5,20.0,0.02,9946.772112,disrupt1,2497460,5.98639,1729506,5.98639,2497460,1.89676,0.0482864,14,14,6
16.0,0.5,20.0,0.02,12646.622892,disrupt2,1792484,9.0078,959758,9.0078,1792484,3.54527,0.0270968,14,14,6
16.0,0.5,20.0,0.02,12783.8044992,disrupt1,2911597,9.05525,1792484,9.05525,2911597,2.1101,0.0443834,14,14,6
16.0,0.5,8.0,0.02,4782.9150108,disrupt1,2903173,6.72439,1742515,6.72439,2903173,1.80175,0.123702,14,14,6
16.0,0.5,8.0,0.02,8422.172346719999,disrupt1,1770482,5.98896,2188964,5.98896,1770482,2.05485,0.14785,14,14,6
16.0,0.5,8.0,0.02,10153.473218399999,disrupt2,2080248,5.98896,1770482,5.98896,2080248,2.02589,0.186838,14,14,6
16.0,0.5,8.0,0.02,11522.724321599999,disrupt2,1832391,6.92743,1732514,6.92743,1832391,2.68532,0.0148589,14,14,6
16.0,0.5,8.0,0.02,12149.3727336,disrupt2,1869278,6.16123,1863772,6.16123,1869278,0.967022,0.0136134,14,14,9
16.0,0.5,8.0,0.02,12624.6879864,disrupt2,1903756,6.16124,1869282,6.16124,1903756,8.90783,0.0400328,14,14,3
