#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#bin_star_radius0[RSUN],#bin_star_radius1[RSUN],#snapshot, #roche_lobe1_calc[RSUN], #roche_lobe2_calc[RSUN],#radrol0,#radrol1
4.0,1.0,8.0,0.0002,10195.157944128001,0.99947665,8.7197693,11.0,14.0,5018.0,62167.0,105.84764,0.39371462,0.0080640532,3.6971822e-05,initial.bhinfo0073,4896.015369408198,12911.226866736995,1.64766e-06,2.86458e-09
4.0,1.0,8.0,0.0002,8215.10603448,1.1439409,13.783622,11.0,14.0,250120.0,303045.0,45.8162,0.37958255,0.006383182,5.8442556e-05,initial.bhinfo0071,1928.9856109815785,5839.197487574393,3.31029e-06,1.00123e-08
4.0,1.0,8.0,0.0002,2543.85646656,16.426775,0.99077808,14.0,11.0,57888.0,124608.0,125.30498,0.40695358,6.9649525e-05,0.0081619445,initial.bhinfo0058,16610.493046474312,4798.774386481374,4.19463e-09,1.70146e-06
4.0,1.0,8.0,0.0002,10423.648926672002,1.2070215,8.7197693,11.0,14.0,190949.0,482168.0,0.152228,0.54335646,0.0055850214,3.6971822e-05,initial.bhinfo0074,7.432377032687728,18.063661347869797,0.000751718,2.04749e-06
4.0,1.0,8.0,0.0002,2947.260257616,16.297481,1.1275707,14.0,11.0,63181.0,145271.0,124.02676,0.22278803,6.9101317e-05,0.0065816823,initial.bhinfo0060,16173.164834719315,4948.306718657455,4.27414e-09,1.33057e-06
4.0,1.0,8.0,0.0002,1416.0842868864002,19.180529,0.81740473,14.0,11.0,150526.0,157089.0,167.91577,0.86007854,8.1325444e-05,0.010111373,initial.bhinfo0049,23131.07588505386,5790.487594024133,3.51713e-09,1.74684e-06
4.0,1.0,8.0,0.0002,3349.678993056,17.096555,1.0182076,14.0,11.0,183290.0,355883.0,293.67027,0.88109863,7.2489394e-05,0.0078525356,initial.bhinfo0061,38986.699680599224,11204.07490268191,1.86001e-09,7.01119e-07
4.0,1.0,8.0,0.0002,10643.587569888,1.3517445,9.0109652,12.0,14.0,296845.0,482168.0,54.375461,0.57664451,0.0019099794,3.8206492e-05,initial.bhinfo0075,2716.066538544417,6374.120909889008,7.03471e-07,5.99618e-09
4.0,1.0,8.0,0.0002,4090.0381178400003,0.99409569,13.399282,11.0,14.0,277145.0,296006.0,115.29395,0.23181276,0.0081246311,5.6812958e-05,initial.bhinfo0063,4696.169655068113,14905.12404489636,1.73068e-06,3.81302e-09
4.0,1.0,8.0,0.0002,11011.82995848,10.368621,1.1692402,14.0,11.0,64237.0,339868.0,0.09776858,0.8616432,4.3962955e-05,0.0060701266,initial.bhinfo0077,11.95340292879258,4.501083860203578,3.6792e-06,0.00134908
