#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#bin_star_radius0[RSUN],#bin_star_radius1[RSUN],#snapshot, #roche_lobe1_calc[RSUN], #roche_lobe2_calc[RSUN],#radrol0,#radrol1
16.0,0.5,8.0,0.02,11729.715534816,6.1498299,0.022136745,14.0,11.0,1863772.0,1997988.0,0.002737521,0.00039978529,2.6075279e-05,0.046161772,initial.bhinfo0266,0.4455351101247136,0.04323871550680687,5.8547e-05,1.06799
16.0,0.5,8.0,0.02,12072.64036524,6.1606869,0.011279723,14.0,11.0,1863772.0,1997988.0,0.0043533328,0.00023107291,2.6121312e-05,0.05786036,initial.bhinfo0269,0.7244359348942556,0.055187364703237124,3.60705e-05,1.04882
16.0,1.0,8.0,0.02,12592.209428889999,0.012511901,7.4643734,10.0,14.0,780000.0,2717065.0,0.004306929,7.6389726e-06,0.055888529,3.1648943e-05,initial.bhinfo0196,0.05304744404140449,0.7184446490686557,1.05394,4.4068e-05
16.0,1.0,8.0,0.02,13970.687380888,0.007364905,7.4695204,10.0,14.0,780000.0,2717065.0,0.0061885479,8.4270124e-06,0.066717258,3.1670766e-05,initial.bhinfo0200,0.06406563192225612,1.0453090981287547,1.04177,3.0309e-05
16.0,2.0,20.0,0.02,9058.42416967,7.503928,0.0053871817,14.0,11.0,118226.0,122895.0,0.0076661205,5.9774094e-06,3.1816655e-05,0.074058,initial.bhinfo0135,1.3027433078340571,0.07150736428035986,2.44317e-05,1.03605
16.0,2.0,20.0,0.02,10658.858761391999,7.504306,0.005009213,14.0,11.0,118226.0,122895.0,0.008054227,5.124131e-06,3.1818257e-05,0.075877734,initial.bhinfo0149,1.3704175345896634,0.07335041924935777,2.32264e-05,1.03483
8.0,0.5,8.0,0.0002,9273.258274104,3.8677374,0.024403339,14.0,11.0,946969.0,1477374.0,0.0022206927,2.2733468e-05,1.6399207e-05,0.044674013,initial.bhinfo0179,0.35268101749910014,0.04203913935267037,4.65156e-05,1.06306
8.0,0.5,8.0,0.0002,9482.978492955,3.8782238,0.013916913,14.0,11.0,946969.0,1477374.0,0.0032625796,0.016349318,1.6443669e-05,0.053933287,initial.bhinfo0181,0.5310518632120111,0.05148042103215856,3.09756e-05,1.04803
8.0,1.0,8.0,0.02,10239.213462165999,7.6927756,0.01333178,14.0,11.0,89672.0,942447.0,0.0041623536,1.3722394e-06,3.2617369e-05,0.054714203,initial.bhinfo0091,0.693704187549184,0.051827979143759376,4.70362e-05,1.05607
8.0,1.0,8.0,0.02,11723.654896226,7.6989299,0.0071774455,14.0,11.0,89672.0,942447.0,0.0063563152,0.065781663,3.2643463e-05,0.067294113,initial.bhinfo0095,1.0748706347401928,0.06460346697702281,3.03807e-05,1.04203
